"Whitefield","Whitefield","Whitefield Kadugodi"
"Hopefarm Channasandra","Hopefarm Channasandra"
"Kadugodi Tree Park","Kadugodi Tree Park"
"Pattandur Agrahara","Pattandur Agrahara"
"Sri Sathya Sai Hospital","Sri Sathya Sai Hospital"
"Nallurhalli","Nallurhalli"
"Kundalahalli","Kundalahalli"
"Seetharam Palya","Seetharam Palya"
"Hoodi","Hoodi"
"Garudacharapalya","Garudacharapalya"
"Singayyanapalya","Singayyanapalya"
"Krishnarajapura","Krishnarajapura","KR Puram"
"Benniganahalli","Benniganahalli"
"Baiyappanahalli","Baiyappanahalli"
"Swami Vivekananda Road","Swami Vivekananda Road","SV Road"
"Indiranagar","Indiranagar"
"Halasuru","Halasuru","Ulsoor"
"Trinity","Trinity"
"Mahatma Gandhi Road","Mahatma Gandhi Road","MG Road"
"Cubbon Park","Cubbon Park"
"Vidhana Soudha","Vidhana Soudha","Dr. B.R. Ambedkar Station"
"Central College","Central College","Sir M. Visvesvaraya Station"
"Majestic","Majestic","Nadaprabhu Kempegowda Station","KBS"
"City Railway Station","City Railway Station","KSR Bengaluru"
"Magadi Road","Magadi Road"
"Hosahalli","Hosahalli"
"Vijayanagar","Vijayanagar"
"Attiguppe","Attiguppe"
"Deepanjali Nagar","Deepanjali Nagar"
"Mysuru Road","Mysuru Road","Mysore Road"
"Nayandahalli","Nayandahalli","Pantharapalya"
"Rajarajeshwari Nagar","Rajarajeshwari Nagar","RR Nagar"
"Jnanabharathi","Jnanabharathi"
"Pattanagere","Pattanagere"
"Kengeri Bus Terminal","Kengeri Bus Terminal"
"Kengeri","Kengeri"
"Challaghatta","Challaghatta"
"Nagasandra","Nagasandra"
"Dasarahalli","Dasarahalli"
"Jalahalli","Jalahalli"
"Peenya Industry","Peenya Industry"
"Peenya","Peenya"
"Goraguntepalya","Goraguntepalya"
"Yeshwanthpur","Yeshwanthpur"
"Sandal Soap Factory","Sandal Soap Factory"
"Mahalakshmi","Mahalakshmi"
"Rajajinagar","Rajajinagar"
"Kuvempu Road","Kuvempu Road"
"Srirampura","Srirampura"
"Sampige Road","Sampige Road","Mantri Square"
"Chickpete","Chickpete","Chickpet"
"KR Market","KR Market","Krishna Rajendra Market"
"National College","National College"
"Lalbagh","Lalbagh"
"South End Circle","South End Circle"
"Jayanagar","Jayanagar"
"RV Road","RV Road","Rashtriya Vidyalaya Road"
"Banashankari","Banashankari"
"JP Nagar","JP Nagar","Jaya Prakash Nagar"
"Yelachenahalli","Yelachenahalli"
"Konanakunte Cross","Konanakunte Cross"
"Doddakallasandra","Doddakallasandra"
"Vajrahalli","Vajrahalli"
"Thalaghattapura","Thalaghattapura"
"Silk Institute","Silk Institute"
"Ragigudda","Ragigudda"
"Jayadeva Hospital","Jayadeva Hospital"
"BTM Layout","BTM Layout"
"Central Silk Board","Central Silk Board","Silk Board"
"Bommanahalli","Bommanahalli"
"Hongasandra","Hongasandra"
"Kudlu Gate","Kudlu Gate"
"Singasandra","Singasandra"
"Hosa Road","Hosa Road"
"Beratena Agrahara","Beratena Agrahara"
"Electronic City","Electronic City","E-City"
"Konappana Agrahara","Konappana Agrahara"
"Huskur Road","Huskur Road"
"Hebbagodi","Hebbagodi"
"Bommasandra","Bommasandra"
